scenario_id,replica_source,se,sp,uhr,true_hr,prior,prior_interpretation,prior_mu_B,prior_sd_B,bias_loghr,rmse_loghr,coverage_strict,width_ratio_strict,mcse_coverage,n_eval,unadjusted_bias_loghr,unadjusted_coverage,coverage_v2,bias_logHR,rmse_logHR,width_ratio_v2,delta_coverage,delta_width_ratio
305,19,0.9,0.9,0.5,0.85,oracle_mean_x1.25,relative mean misspecification; weak when oracle mean is near zero,-0.06212644667664327,0.002784389170457617,0.012168809614939127,0.04242019790736799,0.9384,1.0023317125611462,0.003400159996235471,5000,-0.04995763706170415,0.7682,0.9388,0.0121689804932826,0.0424213053512892,1.0023315802193646,-0.00039999999999995595,1.3234178153354037e-07
305,19,0.9,0.9,0.5,0.85,oracle_mean_x1.50,relative mean misspecification; weak when oracle mean is near zero,-0.07455173601197193,0.002784389170457617,0.024594098950267786,0.04750013648644808,0.9046,1.0023317125611462,0.00415448769404845,5000,-0.04995763706170415,0.7682,0.905,0.0245934975286167,0.0475017142785919,1.0023315802193646,-0.00040000000000006697,1.3234178153354037e-07
306,23,0.9,0.9,0.33,0.85,oracle_cell_specific,DGM-informed upper benchmark,-0.08714944406253634,0.003140091157155909,-0.0008742084688518208,0.04072221636852934,0.9542,1.0029031798159442,0.002956428926931948,5000,-0.08802365253138815,0.4292,0.9542,-0.0008745114153636,0.0407223820753211,1.0029084581374224,0.0,-5.278321478119352e-06
306,23,0.9,0.9,0.33,0.85,global_mechanism_prior,single prior induced by specified Se/Sp/uhr distributions,-0.05969861122307659,0.027335204418235934,-0.028325041308311562,0.049596800608868535,0.9528,1.2002668839301012,0.002999071856424918,5000,-0.08802365253138815,0.4292,0.9528,-0.0283204797419056,0.0496029862166801,1.20060123529747,0.0,-0.00033435136736881255
306,23,0.9,0.9,0.33,0.85,oracle_mean_x1.25,relative mean misspecification; weak when oracle mean is near zero,-0.10893680507817043,0.003140091157155909,0.020913152546782277,0.0457700187345744,0.923,1.0029031798159442,0.003770172409850774,5000,-0.08802365253138815,0.4292,0.923,0.0209139567038779,0.0457704671962772,1.0029084581374224,0.0,-5.278321478119352e-06
306,23,0.9,0.9,0.33,0.85,oracle_mean_x1.50,relative mean misspecification; weak when oracle mean is near zero,-0.13072416609380452,0.003140091157155909,0.04270051356241637,0.05899888578619439,0.8276,1.0029031798159442,0.0053418768237390125,5000,-0.08802365253138815,0.4292,0.8278,0.0427009677220912,0.0589989641008285,1.0029084581374224,-0.00019999999999997797,-5.278321478119352e-06
307,27,0.75,0.85,1.0,0.85,oracle_cell_specific,DGM-informed upper benchmark,0.06512753953845507,0.003072682272228198,0.0001121623561247929,0.04110771808275863,0.95,1.002872604256665,0.0030822070014844896,5000,0.06523970189457987,0.6436,0.9506,0.0001120955555478,0.0411067231885231,1.0028697738009336,-0.0006000000000000449,2.8304557313507672e-06
307,27,0.75,0.85,1.0,0.85,global_mechanism_prior,single prior induced by specified Se/Sp/uhr distributions,-0.05969861122307659,0.027335204418235934,0.12493831311765644,0.13152723668603014,0.2446,1.2063717142238286,0.0060789939957200155,5000,0.06523970189457987,0.6436,0.246,0.1249453652161491,0.1315416982191935,1.2061857467404604,-0.0013999999999999846,0.00018596748336818791
307,27,0.75,0.85,1.0,0.85,oracle_mean_x1.25,relative mean misspecification; weak when oracle mean is near zero,0.08140942442306884,0.003072682272228198,-0.016169722528488976,0.04417342902951675,0.9282,1.002872604256665,0.0036508837286333834,5000,0.06523970189457987,0.6436,0.9286,-0.0161720531838003,0.0441738425717284,1.0028697738009336,-0.00039999999999995595,2.8304557313507672e-06
307,27,0.75,0.85,1.0,0.85,oracle_mean_x1.50,relative mean misspecification; weak when oracle mean is near zero,0.0976913093076826,0.003072682272228198,-0.03245160741310275,0.052373072559012364,0.87,1.002872604256665,0.004756048780237646,5000,0.06523970189457987,0.6436,0.8708,-0.0324508549368641,0.0523735034937161,1.0028697738009336,-0.0008000000000000229,2.8304557313507672e-06
308,31,0.75,0.85,0.5,0.85,oracle_cell_specific,DGM-informed upper benchmark,0.0019412372647791968,0.0028966422571824915,0.00012215964471317536,0.04095183758383979,0.9504,1.0024953942932218,0.0030704996336101387,5000,0.0020633969094923615,0.951,0.9506,0.0001216996253739,0.0409508573819063,1.002494484686541,-0.00019999999999997797,9.096066808655934e-07
308,31,0.75,0.85,0.5,0.85,global_mechanism_prior,single prior induced by specified Se/Sp/uhr distributions,-0.05969861122307659,0.027335204418235934,0.06176200813256895,0.07410522064660431,0.8038,1.2020797274210198,0.005616147433962182,5000,0.0020633969094923615,0.951,0.803,0.0617440578970705,0.0740868097559308,1.2020123869089208,0.0007999999999999119,6.734051209900116e-05
308,31,0.75,0.85,0.5,0.85,oracle_mean_x1.25,relative mean misspecification; weak when oracle mean is near zero,0.002426546580973996,0.0028966422571824915,-0.0003631496714816322,0.040953265513244415,0.9502,1.0024953942932218,0.0030763601869742093,5000,0.0020633969094923615,0.951,0.9502,-0.0003645973711303,0.0409541479874147,1.002494484686541,0.0,9.096066808655934e-07
308,31,0.75,0.85,0.5,0.85,oracle_mean_x1.50,relative mean misspecification; weak when oracle mean is near zero,0.002911855897168795,0.0028966422571824915,-0.0008484589876764385,0.04096044385951116,0.95,1.0024953942932218,0.0030822070014844896,5000,0.0020633969094923615,0.951,0.95,-0.0008462156357519,0.0409592361921243,1.002494484686541,0.0,9.096066808655934e-07
309,35,0.75,0.85,0.33,0.85,oracle_cell_specific,DGM-informed upper benchmark,-0.026256692073046938,0.003029443858242458,2.715524270418259e-05,0.041031543425676546,0.9522,1.0026746119287493,0.0030171231330524103,5000,-0.02622953683034275,0.9064,0.9522,2.8760867359330144e-05,0.0410336673761409,1.0026757804716209,0.0,-1.1685428715768609e-06
309,35,0.75,0.85,0.33,0.85,global_mechanism_prior,single prior induced by specified Se/Sp/uhr distributions,-0.05969861122307659,0.027335204418235934,0.03346907439273385,0.05295059734500005,0.9366,1.198371270149457,0.0034461700480388374,5000,-0.02622953683034275,0.9064,0.9368,0.0334679909723728,0.0529564214492702,1.198451019703333,-0.00019999999999997797,-7.974955387579641e-05
309,35,0.75,0.85,0.33,0.85,oracle_mean_x1.25,relative mean misspecification; weak when oracle mean is near zero,-0.032820865091308674,0.003029443858242458,0.006591328260965926,0.04155757965437571,0.9456,1.0026746119287493,0.003207511184703804,5000,-0.02622953683034275,0.9064,0.9456,0.0065895158148214,0.0415570814323338,1.0026757804716209,0.0,-1.1685428715768609e-06
309,35,0.75,0.85,0.33,0.85,oracle_mean_x1.50,relative mean misspecification; weak when oracle mean is near zero,-0.039385038109570406,0.003029443858242458,0.013155501279227658,0.043088908461386376,0.9394,1.0026746119287493,0.0033742448043969776,5000,-0.02622953683034275,0.9064,0.939,0.0131582692697297,0.0430901846521035,1.0026757804716209,0.00040000000000006697,-1.1685428715768609e-06
