rep,sensitivity,specificity,uhr,bias_loghr,n_cancer,n_other,uhr_draw_method,status,failure_reason
90,0.7956547193437083,0.9229141543913005,0.43239600545696805,-0.055337737293644274,100453,79486,accept-reject truncated Normal,ok,
91,0.8607712062753274,0.8816532885452808,0.33624844757137057,-0.07820527799051538,99432,78687,accept-reject truncated Normal,ok,
92,0.8734228229546234,0.8978493221559131,0.2777586994508036,-0.08770223085325526,98395,77972,accept-reject truncated Normal,ok,
93,0.8904340289921593,0.9022091019317737,0.36255509081577053,-0.08461104031693692,99552,79198,accept-reject truncated Normal,ok,
94,0.8187840145933412,0.897964774917344,0.3125497119364234,-0.052391697137611076,98828,78625,accept-reject truncated Normal,ok,
95,0.8634023260915691,0.881506788416366,0.3616086452763845,-0.07377345043283964,99409,79431,accept-reject truncated Normal,ok,
96,0.8827206604983173,0.9104879302265291,0.5389487316866193,-0.042255253870872866,101013,80762,accept-reject truncated Normal,ok,
97,0.8799325552079115,0.8558147506674921,0.4724819693039132,-0.043582784220389886,100760,79915,accept-reject truncated Normal,ok,
98,0.7290005811550624,0.9072551584585665,0.4262480803974701,-0.03700580224198177,100021,79967,accept-reject truncated Normal,ok,
99,0.8815019422964334,0.9104205891282021,0.443802031794149,-0.06909421641666572,100118,80207,accept-reject truncated Normal,ok,
100,0.7571158050633982,0.8725605074659727,0.5753565624955557,0.003161480307446174,101362,80809,accept-reject truncated Normal,ok,
101,0.7570997980772115,0.9221181779970927,0.2900612577994633,-0.07669651166220137,98648,78090,accept-reject truncated Normal,ok,
102,0.8876723915892505,0.9136295114215846,0.4478907034459836,-0.06184924080639659,100858,79374,accept-reject truncated Normal,ok,
103,0.9441526605493142,0.9184588909310004,0.38307852270831505,-0.09619248711777209,99573,79410,accept-reject truncated Normal,ok,
104,0.7813375277976643,0.8617603356030181,0.4175137327307864,-0.03265966728343103,100161,80021,accept-reject truncated Normal,ok,
105,0.8262857127866405,0.9347897137041802,0.4107018997617566,-0.06777890746233511,100399,79605,accept-reject truncated Normal,ok,
106,0.7626515560578788,0.8913909344328906,0.3718580792295081,-0.03752882280577782,99747,79394,accept-reject truncated Normal,ok,
107,0.8516595237604645,0.9504592126930027,0.45749701865437464,-0.06439856127751123,100381,80031,accept-reject truncated Normal,ok,
108,0.8790509380224008,0.9286375983776929,0.18802094923496823,-0.13559128757258085,95755,76271,accept-reject truncated Normal,ok,
109,0.8040981011325052,0.9160296819604412,0.43225471979222213,-0.052507892262928846,100263,79942,accept-reject truncated Normal,ok,
110,0.8305819092733715,0.9390907041278008,0.47111698368608673,-0.05281360524397616,100672,79797,accept-reject truncated Normal,ok,
111,0.8774822860684164,0.8607635225683969,0.3083396819952667,-0.07255199173792598,98475,79016,accept-reject truncated Normal,ok,
112,0.8683871091580204,0.8871693523828099,0.30614335038734836,-0.07758504404035291,98903,78275,accept-reject truncated Normal,ok,
113,0.8406692450220057,0.8876036746991195,0.593663753205635,-0.02269078440398345,101432,80916,accept-reject truncated Normal,ok,
114,0.9190032874733108,0.8950171247116862,0.31415700672877056,-0.08973629153266768,99034,78714,accept-reject truncated Normal,ok,
115,0.8035803484435808,0.801554185515954,0.3658661775936999,-0.018048541195430368,99565,79026,accept-reject truncated Normal,ok,
116,0.7535500005381323,0.9074437787357952,0.32657461639104113,-0.047304313394336356,98976,78905,accept-reject truncated Normal,ok,
117,0.8016219484527429,0.8776801267962794,0.34259691680503684,-0.054570228365652396,99606,78889,accept-reject truncated Normal,ok,
118,0.8423527764312841,0.8239385898826368,0.3366818241525618,-0.04116098526534803,99202,78894,accept-reject truncated Normal,ok,
119,0.7838433091054802,0.8549592681320932,0.19329651877123477,-0.06788422183589596,96315,75813,accept-reject truncated Normal,ok,
120,0.8012674734788764,0.9416639755378133,0.6405097588154018,-0.018962900992328585,101572,81132,accept-reject truncated Normal,ok,
121,0.8193892956758567,0.9191231387632361,0.33112380726026164,-0.0695520042628843,99362,78684,accept-reject truncated Normal,ok,
122,0.8188592101417839,0.8058515487791319,0.44119628599938326,-0.015141080646265959,100678,79836,accept-reject truncated Normal,ok,
