check,passed,observed,expected,note
primary_010_directional_signal_rate,True,1.0,1.0,
primary_010_median_cross_ratio,True,1.0004509716158745,1.0004509716158745,
primary_010_max_abs_score_residual_sum,True,3.272020876465831e-09,3.272020876465831e-09,
primary_011_successful,True,5000,5000,
primary_011_failed,True,0,0,
primary_011_median_HR_c,True,0.7269665093969675,0.7269665093969675,
primary_011_median_HR_naive,True,0.7314169054187332,0.7314169054187332,
primary_011_median_HR_o,True,0.8552607911190144,0.8552607911190144,
primary_011_bias_logHR_c,True,-0.1557447909717879,-0.1557447909717879,
primary_011_median_HR_percent_error_c,True,-14.474528306239115,-14.474528306239115,
primary_011_empirical_SE,True,0.04172456070229099,0.0417245607022909,
primary_011_avg_robust_SE,True,0.04175545054145626,0.0417554505414562,
primary_011_avg_model_SE,True,0.05886052644931989,0.0588605264493198,
primary_011_rmse_c,True,0.16123594727247367,0.1612359472724736,
primary_011_coverage_c,True,0.0416,0.0416,
primary_011_coverage_naive,True,0.0504,0.0504,
primary_011_median_interval_width_log,True,0.16363484268365058,0.1636348426836505,
primary_011_directional_signal_rate,True,0.9272,0.9272,
primary_011_median_cross_ratio,True,0.850186163240898,0.850186163240898,
primary_011_max_abs_score_residual_sum,True,3.012345928254945e-11,3.012345928254945e-11,
primary_012_successful,True,5000,5000,
primary_012_failed,True,0,0,
primary_012_median_HR_c,True,0.7270595141569868,0.7270595141569868,
primary_012_median_HR_naive,True,0.7316534359353644,0.7316534359353644,
primary_012_median_HR_o,True,0.855133572895336,0.855133572895336,
primary_012_bias_logHR_c,True,-0.15620682359223523,-0.1562068235922352,
primary_012_median_HR_percent_error_c,True,-14.46358656976626,-14.46358656976626,
primary_012_empirical_SE,True,0.01325141489185397,0.0132514148918539,
primary_012_avg_robust_SE,True,0.013200288345745334,0.0132002883457453,
primary_012_avg_model_SE,True,0.01859558699593247,0.0185955869959324,
primary_012_rmse_c,True,0.15676777925776847,0.1567677792577684,
primary_012_coverage_c,True,0.0,0.0,
primary_012_coverage_naive,True,0.0,0.0,
primary_012_median_interval_width_log,True,0.05174313880617165,0.0517431388061716,
primary_012_directional_signal_rate,True,1.0,1.0,
primary_012_median_cross_ratio,True,0.8499262922715016,0.8499262922715016,
primary_012_max_abs_score_residual_sum,True,3.079833277297439e-09,3.079833277297439e-09,
primary_013_successful,True,5000,5000,
primary_013_failed,True,0,0,
primary_013_median_HR_c,True,0.9998177504133294,0.9998177504133294,
primary_013_median_HR_naive,True,1.000163154279571,1.000163154279571,
primary_013_median_HR_o,True,0.999986321498704,0.999986321498704,
primary_013_bias_logHR_c,True,-7.387856943603596e-05,-7.387856943603596e-05,
primary_013_median_HR_percent_error_c,True,-0.018224958667056868,-0.0182249586670568,
primary_013_empirical_SE,True,0.039383221575194464,0.0393832215751944,
primary_013_avg_robust_SE,True,0.03942701485402921,0.0394270148540292,
primary_013_avg_model_SE,True,0.055800297337949584,0.0558002973379495,
primary_013_rmse_c,True,0.039379352356984705,0.0393793523569847,
primary_013_coverage_c,True,0.9492,0.9492,
primary_013_coverage_naive,True,0.9492,0.9492,
primary_013_median_interval_width_log,True,0.15456395898805625,0.1545639589880562,
primary_013_directional_signal_rate,True,0.0246,0.0246,
primary_013_median_cross_ratio,True,0.9997183276037653,0.9997183276037652,
primary_013_max_abs_score_residual_sum,True,3.779554447191913e-11,3.779554447191913e-11,
primary_014_successful,True,5000,5000,
primary_014_failed,True,0,0,
primary_014_median_HR_c,True,1.0000720308022848,1.0000720308022848,
primary_014_median_HR_naive,True,1.000034975621738,1.000034975621738,
primary_014_median_HR_o,True,0.9999239645138519,0.999923964513852,
primary_014_bias_logHR_c,True,-8.409016756081812e-05,-8.409016756081813e-05,
primary_014_median_HR_percent_error_c,True,0.007203080228479486,0.0072030802284794,
primary_014_empirical_SE,True,0.012285394249452535,0.0122853942494525,
primary_014_avg_robust_SE,True,0.012461958652999414,0.0124619586529994,
primary_014_avg_model_SE,True,0.017625586793042065,0.0176255867930421,
primary_014_rmse_c,True,0.012284453461118608,0.0122844534611186,
primary_014_coverage_c,True,0.9514,0.9514,
primary_014_coverage_naive,True,0.9484,0.9484,
primary_014_median_interval_width_log,True,0.04884993463082127,0.0488499346308214,
primary_014_directional_signal_rate,True,0.0242,0.0242,
primary_014_median_cross_ratio,True,1.0000957400293367,1.0000957400293364,
primary_014_max_abs_score_residual_sum,True,3.163791006954852e-09,3.163791006954852e-09,
primary_015_successful,True,5000,5000,
primary_015_failed,True,0,0,
primary_015_median_HR_c,True,0.8800513299258623,0.8800513299258623,
primary_015_median_HR_naive,True,0.8787174288774615,0.8787174288774615,
primary_015_median_HR_o,True,0.9990855998616202,0.9990855998616202,
primary_015_bias_logHR_c,True,0.03499521209599569,0.0349952120959956,
primary_015_median_HR_percent_error_c,True,3.5354505795132174,3.5354505795132174,
primary_015_empirical_SE,True,0.03985421775648495,0.0398542177564849,
primary_015_avg_robust_SE,True,0.040253476264897455,0.0402534762648974,
primary_015_avg_model_SE,True,0.05688399535385722,0.0568839953538572,
primary_015_rmse_c,True,0.053034949522842455,0.0530349495228424,
primary_015_coverage_c,True,0.8574,0.8574,
primary_015_coverage_naive,True,0.8652,0.8652,
primary_015_median_interval_width_log,True,0.1577627263460077,0.1577627263460077,
primary_015_directional_signal_rate,True,0.0228,0.0228,
primary_015_median_cross_ratio,True,0.8811257507224329,0.8811257507224329,
primary_015_max_abs_score_residual_sum,True,3.6751490739561625e-11,3.6751490739561625e-11,
primary_016_successful,True,5000,5000,
primary_016_failed,True,0,0,
primary_016_median_HR_c,True,0.8803434329654954,0.8803434329654954,
primary_016_median_HR_naive,True,0.878857287487352,0.878857287487352,
primary_016_median_HR_o,True,1.0004934390714655,1.0004934390714653,
primary_016_bias_logHR_c,True,0.03512054286135834,0.0351205428613583,
primary_016_median_HR_percent_error_c,True,3.5698156429994667,3.5698156429994667,
primary_016_empirical_SE,True,0.012506431352852773,0.0125064313528527,
primary_016_avg_robust_SE,True,0.012724974395714583,0.0127249743957146,
primary_016_avg_model_SE,True,0.017970993989012755,0.0179709939890128,
primary_016_rmse_c,True,0.03728045163212338,0.0372804516321233,
primary_016_coverage_c,True,0.2042,0.2042,
primary_016_coverage_naive,True,0.2316,0.2316,
primary_016_median_interval_width_log,True,0.049882798873303984,0.049882798873304,
primary_016_directional_signal_rate,True,0.0224,0.0224,
primary_016_median_cross_ratio,True,0.8800343624278546,0.8800343624278546,
primary_016_max_abs_score_residual_sum,True,3.3118965347966878e-09,3.3118965347966878e-09,
primary_017_successful,True,5000,5000,
primary_017_failed,True,0,0,
primary_017_median_HR_c,True,0.9116658040011433,0.9116658040011432,
primary_017_median_HR_naive,True,0.9138713595049259,0.913871359504926,
primary_017_median_HR_o,True,0.9135379242871358,0.9135379242871358,
primary_017_bias_logHR_c,True,-0.09196056044554375,-0.0919605604455437,
primary_017_median_HR_percent_error_c,True,-8.833419599885673,-8.833419599885673,
primary_017_empirical_SE,True,0.040338998416341164,0.0403389984163411,
primary_017_avg_robust_SE,True,0.039841670911963556,0.0398416709119635,
primary_017_avg_model_SE,True,0.05635946474241656,0.0563594647424165,
primary_017_rmse_c,True,0.10041739900900358,0.1004173990090035,
primary_017_coverage_c,True,0.363,0.363,
primary_017_coverage_naive,True,0.369,0.369,
primary_017_median_interval_width_log,True,0.1561762884976447,0.1561762884976447,
primary_017_directional_signal_rate,True,0.4978,0.4978,
primary_017_median_cross_ratio,True,0.9977968536394539,0.997796853639454,
primary_017_max_abs_score_residual_sum,True,3.6962433114240405e-11,3.6962433114240405e-11,
primary_018_successful,True,5000,5000,
primary_018_failed,True,0,0,
primary_018_median_HR_c,True,0.9129801362675034,0.9129801362675034,
primary_018_median_HR_naive,True,0.9149899847631956,0.9149899847631956,
primary_018_median_HR_o,True,0.9127674533772216,0.9127674533772216,
primary_018_bias_logHR_c,True,-0.09088514287626313,-0.0908851428762631,
primary_018_median_HR_percent_error_c,True,-8.70198637324966,-8.70198637324966,
primary_018_empirical_SE,True,0.012533851238234889,0.0125338512382348,
