scenario_id,family,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,planned_reps,master_seed,scenario_seed,median_HR_c,median_HR_naive,median_HR_o,bias_logHR_c,median_HR_percent_error_c,empirical_SE,avg_robust_SE,avg_model_SE,rmse_c,coverage_c,coverage_naive,median_interval_width_log,directional_signal_rate,median_cross_ratio,mcse_bias,mcse_coverage,mcse_signal,successful,failed,failure_rate,convergence_warnings,max_abs_score_residual_sum,computational_time_s,cache_status
11,main_hi,,1.0,1.0,0.33,0.85,5000,-0.8,-0.5,5000,20260817,1710890882,0.7269665093969675,0.7314169054187332,0.8552607911190144,-0.1557447909717879,-14.474528306239115,0.04172456070229099,0.04175545054145626,0.05886052644931989,0.16123594727247367,0.0416,0.0504,0.16363484268365058,0.9272,0.850186163240898,0.0005900743962923939,0.002823807358868519,0.0036742389688206177,5000,0,0.0,0,3.012345928254945e-11,0.0,reused complete strict rerun
12,main_hi,,1.0,1.0,0.33,0.85,50000,-0.8,-0.5,5000,20260817,1319130456,0.7270595141569868,0.7316534359353644,0.855133572895336,-0.15620682359223523,-14.46358656976626,0.01325141489185397,0.013200288345745334,0.01859558699593247,0.15676777925776847,0.0,0.0,0.05174313880617165,1.0,0.8499262922715016,0.00018740330660692685,0.0,0.0,5000,0,0.0,0,3.079833277297439e-09,0.0,reused complete strict rerun
13,main_hi,,0.9,0.9,1.0,1.0,5000,-0.8,-0.5,5000,20260817,972130327,0.9998177504133294,1.000163154279571,0.999986321498704,-7.387856943603596e-05,-0.018224958667056868,0.039383221575194464,0.03942701485402921,0.055800297337949584,0.039379352356984705,0.9492,0.9492,0.15456395898805625,0.0246,0.9997183276037653,0.000556962860815847,0.003105458420265838,0.0021906546966603386,5000,0,0.0,0,3.779554447191913e-11,0.0,reused complete strict rerun
14,main_hi,,0.9,0.9,1.0,1.0,50000,-0.8,-0.5,5000,20260817,300294571,1.0000720308022848,1.000034975621738,0.999923964513852,-8.409016756081813e-05,0.007203080228479486,0.012285394249452575,0.012461958652999462,0.017625586793042117,0.012284453461118647,0.9514,0.9484,0.048849934630821476,0.0242,1.0000957400293364,0.00017374171166676262,0.003040987997345599,0.0021732169703000204,5000,0,0.0,0,3.1637910069548525e-09,383.5027377605438,newly computed
15,main_hi,,0.9,0.9,1.0,0.85,5000,-0.8,-0.5,5000,20260817,184379484,0.8800513299258623,0.8787174288774615,0.9990855998616202,0.03499521209599569,3.5354505795132174,0.03985421775648495,0.040253476264897455,0.05688399535385722,0.053034949522842455,0.8574,0.8652,0.1577627263460077,0.0228,0.8811257507224329,0.0005636237526899163,0.004945002325580847,0.00211093154791907,5000,0,0.0,0,3.6751490739561625e-11,0.0,reused complete strict rerun
16,main_hi,,0.9,0.9,1.0,0.85,50000,-0.8,-0.5,5000,20260817,2636532921,0.8803434329654954,0.878857287487352,1.0004934390714653,0.03512054286135831,3.5698156429994667,0.012506431352852771,0.012724974395714633,0.017970993989012807,0.03728045163212334,0.2042,0.2316,0.049882798873304005,0.0224,0.8800343624278546,0.00017686764836092483,0.005700918522483899,0.002092760855903034,5000,0,0.0,0,3.3118965347966878e-09,400.6821172237396,newly computed
17,main_hi,,0.9,0.9,0.5,1.0,5000,-0.8,-0.5,5000,20260817,2612745165,0.9116658040011433,0.9138713595049259,0.9135379242871358,-0.09196056044554375,-8.833419599885673,0.040338998416341164,0.039841670911963556,0.05635946474241656,0.10041739900900358,0.363,0.369,0.1561762884976447,0.4978,0.9977968536394539,0.0005704795865293647,0.006800455867072442,0.007070999363597765,5000,0,0.0,0,3.6962433114240405e-11,0.0,reused complete strict rerun
18,main_hi,,0.9,0.9,0.5,1.0,50000,-0.8,-0.5,5000,20260817,3692586629,0.9129801362675034,0.9149899847631955,0.9127674533772215,-0.09088514287626319,-8.70198637324966,0.012533851238234887,0.012595486813208693,0.01780755580414958,0.09174516446666604,0.0,0.0,0.04937515788073409,1.0,1.0002216268005895,0.00017725542409878587,0.0,0.0,5000,0,0.0,0,3.3396290177734045e-09,404.20753288269043,newly computed
19,main_hi,,0.9,0.9,0.5,0.85,5000,-0.8,-0.5,5000,20260817,2268338296,0.8086135659715863,0.809623186732688,0.9196557355034811,-0.04995763706170415,-4.868992238636905,0.04064140263053416,0.04075113682675808,0.05754948207004562,0.06439843758853617,0.7682,0.7692,0.15972003122874537,0.4576,0.8797256105143103,0.0005747562279396699,0.005967725865017594,0.0070455977744972075,5000,0,0.0,0,3.3586022851750386e-11,0.0,reused complete strict rerun
20,main_hi,,0.9,0.9,0.5,0.85,50000,-0.8,-0.5,5000,20260817,3352976826,0.8087277784657437,0.8091595327176164,0.9186319711474884,-0.04961322332432542,-4.855555474618383,0.012996112220936676,0.01288170488855449,0.01818082245435832,0.05128681196664495,0.0304,0.0294,0.050495200374185194,1.0,0.8803671126251656,0.00018379278160971372,0.002427996705104848,0.0,5000,0,0.0,0,3.3791422993090237e-09,421.4250371456146,newly computed
