scenario_id,family_strict,anchor_strict,se_strict,sp_strict,uhr_strict,eff_strict,n_strict,eta_c0_strict,eta_o0_strict,planned_reps_strict,master_seed_strict,scenario_seed_strict,median_HR_c_strict,median_HR_naive_strict,median_HR_o_strict,bias_logHR_c_strict,median_HR_percent_error_c_strict,empirical_SE_strict,avg_robust_SE,avg_model_SE_strict,rmse_c_strict,coverage_c_strict,coverage_naive_strict,median_interval_width_log_strict,directional_signal_rate_strict,median_cross_ratio_strict,mcse_bias_strict,mcse_coverage_strict,mcse_signal_strict,successful_strict,failed_strict,failure_rate_strict,convergence_warnings_strict,max_abs_score_residual_sum,computational_time_s,cache_status,family_v2,module,anchor_v2,se_v2,sp_v2,uhr_v2,eff_v2,n_v2,eta_c0_v2,eta_o0_v2,estimand,method,planned_reps_v2,master_seed_v2,scenario_seed_v2,median_HR_c_v2,median_HR_naive_v2,median_HR_o_v2,bias_logHR_c_v2,median_HR_percent_error_c_v2,empirical_SE_v2,avg_model_SE_v2,rmse_c_v2,coverage_c_v2,coverage_naive_v2,median_interval_width_log_v2,directional_signal_rate_v2,median_cross_ratio_v2,mcse_bias_v2,mcse_coverage_v2,mcse_signal_v2,successful_v2,failed_v2,failure_rate_v2,convergence_warnings_v2,delta_median_HR_c,delta_bias_logHR_c,delta_coverage_c,delta_directional_signal_rate,delta_avg_model_SE
11,main_hi,,1.0,1.0,0.33,0.85,5000,-0.8,-0.5,5000,20260817,1710890882,0.7269665093969675,0.7314169054187332,0.8552607911190144,-0.1557447909717879,-14.474528306239115,0.04172456070229099,0.04175545054145626,0.05886052644931989,0.16123594727247367,0.0416,0.0504,0.16363484268365058,0.9272,0.850186163240898,0.0005900743962923939,0.002823807358868519,0.0036742389688206177,5000,0,0.0,0,3.012345928254945e-11,0.0,reused complete strict rerun,main_hi,primary,,1.0,1.0,0.33,0.85,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1710890882,0.7269665093969674,0.7314169054187332,0.8552607911190115,-0.1557447909717878,-14.474528306239128,0.041724560702291,0.0416884822550028,0.1612359472724736,0.0414,0.0498,0.1634225810075351,0.927,0.8501861632409016,0.0005900743962923,0.0028173050952994,0.003678885700861,5000,0,0.0,0,1.1102230246251565e-16,-8.326672684688674e-17,0.0001999999999999988,0.00019999999999997797,0.017172044194317088
12,main_hi,,1.0,1.0,0.33,0.85,50000,-0.8,-0.5,5000,20260817,1319130456,0.7270595141569868,0.7316534359353644,0.855133572895336,-0.15620682359223523,-14.46358656976626,0.01325141489185397,0.013200288345745334,0.01859558699593247,0.15676777925776847,0.0,0.0,0.05174313880617165,1.0,0.8499262922715016,0.00018740330660692685,0.0,0.0,5000,0,0.0,0,3.079833277297439e-09,0.0,reused complete strict rerun,main_hi,primary,,1.0,1.0,0.33,0.85,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1319130456,0.7270595141569868,0.7316534359353644,0.8551335728953404,-0.1562068235922352,-14.46358656976626,0.0132514148918539,0.0131730132915945,0.1567677792577684,0.0,0.0,0.0516373084651167,1.0,0.8499262922715065,0.0001874033066069,0.0,0.0,5000,0,0.0,0,0.0,-2.7755575615628914e-17,0.0,0.0,0.00542257370433797
13,main_hi,,0.9,0.9,1.0,1.0,5000,-0.8,-0.5,5000,20260817,972130327,0.9998177504133294,1.000163154279571,0.999986321498704,-7.387856943603596e-05,-0.018224958667056868,0.039383221575194464,0.03942701485402921,0.055800297337949584,0.039379352356984705,0.9492,0.9492,0.15456395898805625,0.0246,0.9997183276037653,0.000556962860815847,0.003105458420265838,0.0021906546966603386,5000,0,0.0,0,3.779554447191913e-11,0.0,reused complete strict rerun,main_hi,primary,,0.9,0.9,1.0,1.0,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,972130327,0.9998177504133288,1.000163154279583,0.999986321498704,-7.387856943601791e-05,-0.0182249586671234,0.0393832215751944,0.0394473529606304,0.0393793523569846,0.9492,0.949,0.1546248029153347,0.0246,0.999718327603765,0.0005569628608158,0.0031054584202658,0.0021906546966603,5000,0,0.0,0,6.661338147750939e-16,-1.805196617188365e-17,0.0,0.0,0.016352944377319184
14,main_hi,,0.9,0.9,1.0,1.0,50000,-0.8,-0.5,5000,20260817,300294571,1.0000720308022848,1.000034975621738,0.999923964513852,-8.409016756081813e-05,0.007203080228479486,0.012285394249452575,0.012461958652999462,0.017625586793042117,0.012284453461118647,0.9514,0.9484,0.048849934630821476,0.0242,1.0000957400293364,0.00017374171166676262,0.003040987997345599,0.0021732169703000204,5000,0,0.0,0,3.1637910069548525e-09,383.5027377605438,newly computed,main_hi,primary,,0.9,0.9,1.0,1.0,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,300294571,1.0000720308022846,1.000034975621738,0.999923964513852,-8.409016756090592e-05,0.0072030802284572,0.0122853942494525,0.012462871968788,0.0122844534611185,0.9516,0.9484,0.0488551502033919,0.0242,1.0000957400293382,0.0001737417116667,0.0030350433275325,0.0021732169703,5000,0,0.0,0,2.220446049250313e-16,8.779327091701372e-17,-0.00019999999999997797,0.0,0.005162714824254117
15,main_hi,,0.9,0.9,1.0,0.85,5000,-0.8,-0.5,5000,20260817,184379484,0.8800513299258623,0.8787174288774615,0.9990855998616202,0.03499521209599569,3.5354505795132174,0.03985421775648495,0.040253476264897455,0.05688399535385722,0.053034949522842455,0.8574,0.8652,0.1577627263460077,0.0228,0.8811257507224329,0.0005636237526899163,0.004945002325580847,0.00211093154791907,5000,0,0.0,0,3.6751490739561625e-11,0.0,reused complete strict rerun,main_hi,primary,,0.9,0.9,1.0,0.85,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,184379484,0.8800513299258625,0.8787174288774151,0.999085599861621,0.0349952120959956,3.535450579513244,0.0398542177564849,0.0402744670910119,0.0530349495228424,0.8574,0.8648,0.1578659164208198,0.0224,0.8811257507224339,0.0005636237526899,0.0049450023255808,0.002092760855903,5000,0,0.0,0,-2.220446049250313e-16,9.020562075079397e-17,0.0,0.00040000000000000105,0.01660952826284532
16,main_hi,,0.9,0.9,1.0,0.85,50000,-0.8,-0.5,5000,20260817,2636532921,0.8803434329654954,0.878857287487352,1.0004934390714653,0.03512054286135831,3.5698156429994667,0.012506431352852771,0.012724974395714633,0.017970993989012807,0.03728045163212334,0.2042,0.2316,0.049882798873304005,0.0224,0.8800343624278546,0.00017686764836092483,0.005700918522483899,0.002092760855903034,5000,0,0.0,0,3.3118965347966878e-09,400.6821172237396,newly computed,main_hi,primary,,0.9,0.9,1.0,0.85,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,2636532921,0.8803434329654918,0.8788572874875842,1.0004934390714693,0.0351205428613583,3.5698156429990355,0.0125064313528528,0.0127263616211531,0.0372804516321233,0.2044,0.2316,0.0498867980462767,0.0222,0.8800343624278534,0.0001768676483609,0.00570299289847,0.0020836103282523,5000,0,0.0,0,3.6637359812630166e-15,6.938893903907228e-18,-0.00020000000000000573,0.0001999999999999988,0.005244632367859707
17,main_hi,,0.9,0.9,0.5,1.0,5000,-0.8,-0.5,5000,20260817,2612745165,0.9116658040011433,0.9138713595049259,0.9135379242871358,-0.09196056044554375,-8.833419599885673,0.040338998416341164,0.039841670911963556,0.05635946474241656,0.10041739900900358,0.363,0.369,0.1561762884976447,0.4978,0.9977968536394539,0.0005704795865293647,0.006800455867072442,0.007070999363597765,5000,0,0.0,0,3.6962433114240405e-11,0.0,reused complete strict rerun,main_hi,primary,,0.9,0.9,0.5,1.0,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,2612745165,0.9116658040011434,0.9138713595048928,0.9135379242871348,-0.0919605604455437,-8.833419599885662,0.0403389984163411,0.0398527110135354,0.1004173990090036,0.3634,0.369,0.1562025212652014,0.4978,0.997796853639454,0.0005704795865293,0.0068020649805775,0.0070709993635977,5000,0,0.0,0,-1.1102230246251565e-16,-5.551115123125783e-17,-0.00040000000000001146,0.0,0.016506753728881156
18,main_hi,,0.9,0.9,0.5,1.0,50000,-0.8,-0.5,5000,20260817,3692586629,0.9129801362675034,0.9149899847631955,0.9127674533772215,-0.09088514287626319,-8.70198637324966,0.012533851238234887,0.012595486813208693,0.01780755580414958,0.09174516446666604,0.0,0.0,0.04937515788073409,1.0,1.0002216268005895,0.00017725542409878587,0.0,0.0,5000,0,0.0,0,3.3396290177734045e-09,404.20753288269043,newly computed,main_hi,primary,,0.9,0.9,0.5,1.0,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,3692586629,0.9129801362675034,0.9149899847632488,0.9127674533772216,-0.0908851428762631,-8.70198637324966,0.0125338512382349,0.0125940891517958,0.091745164466666,0.0,0.0,0.0493706080000436,1.0,1.0002216268005848,0.0001772554240987,0.0,0.0,5000,0,0.0,0,0.0,-8.326672684688674e-17,0.0,0.0,0.00521346665235378
19,main_hi,,0.9,0.9,0.5,0.85,5000,-0.8,-0.5,5000,20260817,2268338296,0.8086135659715863,0.809623186732688,0.9196557355034811,-0.04995763706170415,-4.868992238636905,0.04064140263053416,0.04075113682675808,0.05754948207004562,0.06439843758853617,0.7682,0.7692,0.15972003122874537,0.4576,0.8797256105143103,0.0005747562279396699,0.005967725865017594,0.0070455977744972075,5000,0,0.0,0,3.3586022851750386e-11,0.0,reused complete strict rerun,main_hi,primary,,0.9,0.9,0.5,0.85,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,2268338296,0.8086135659715848,0.8096231867326569,0.9196557355034822,-0.0499576370617041,-4.868992238637074,0.0406414026305341,0.040752217178397,0.0643984375885361,0.7684,0.7686,0.1597458629268225,0.4568,0.8797256105143116,0.0005747562279396,0.0059659272539983,0.007044625753012,5000,0,0.0,0,1.4432899320127035e-15,-4.85722573273506e-17,-0.00019999999999997797,0.0008000000000000229,0.016797264891648622
20,main_hi,,0.9,0.9,0.5,0.85,50000,-0.8,-0.5,5000,20260817,3352976826,0.8087277784657437,0.8091595327176164,0.9186319711474884,-0.04961322332432542,-4.855555474618383,0.012996112220936676,0.01288170488855449,0.01818082245435832,0.05128681196664495,0.0304,0.0294,0.050495200374185194,1.0,0.8803671126251656,0.00018379278160971372,0.002427996705104848,0.0,5000,0,0.0,0,3.3791422993090237e-09,421.4250371456146,newly computed,main_hi,primary,,0.9,0.9,0.5,0.85,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,3352976826,0.808727778465746,0.8091595327175851,0.9186319711474844,-0.0496132233243254,-4.855555474618121,0.0129961122209367,0.0128761201232039,0.0512868119666449,0.03,0.0294,0.0504738971681768,1.0,0.8803671126251644,0.0001837927816097,0.0024124676163629,0.0,5000,0,0.0,0,-2.220446049250313e-15,-2.0816681711721685e-17,0.00040000000000000105,0.0,0.005304702331154421
