cohort,variable,level,exposure,n,unweighted_value,weighted_value,crude_smd,weighted_smd
Bladder,gradegrp,High (III-IV),Local procedure,25673,25673 (74.3%),86.5%,0.325837561003421,8.47132972898314e-13
Bladder,gradegrp,High (III-IV),Cystectomy,1703,1703 (87.0%),86.5%,0.325837561003421,8.47132972898314e-13
Bladder,gradegrp,Unknown,Local procedure,2481,2481 (7.2%),5.5%,0.0727330659579968,6.89392759202811e-14
Bladder,gradegrp,Unknown,Cystectomy,106,106 (5.4%),5.5%,0.0727330659579968,6.89392759202811e-14
Bladder,histgrp,Other urothelial,Local procedure,184,184 (0.5%),2.1%,0.16458331124091,1.33778199173369e-12
Bladder,histgrp,Other urothelial,Cystectomy,50,50 (2.6%),2.1%,0.16458331124091,1.33778199173369e-12
Bladder,histgrp,Papillary UC,Local procedure,25364,25364 (73.4%),68.1%,0.127984626793471,9.15837939988427e-13
Bladder,histgrp,Papillary UC,Cystectomy,1323,1323 (67.6%),68.1%,0.127984626793471,9.15837939988427e-13
Bladder,histgrp,UC NOS,Local procedure,8995,8995 (26.0%),29.8%,0.0847989970915434,5.17673119183952e-13
Bladder,histgrp,UC NOS,Cystectomy,584,584 (29.8%),29.8%,0.0847989970915434,5.17673119183952e-13
