combo,se,sp,uhr,eff,n,dataset_id,beta_py,se_py,beta_r,se_r,abs_beta_diff,abs_se_diff
8,0.9,0.9,0.5,1.0,5000,48,-0.0938045325896841,0.0394923887681916,-0.0938045325476794,0.0394624379333878,4.200470526960487e-11,2.9950834803796345e-05
8,0.9,0.9,0.5,1.0,5000,49,-0.1248534236802665,0.0396225356754995,-0.124853423680267,0.0396566113124751,4.996003610813204e-16,3.407563697560567e-05
9,0.9,0.9,0.5,0.85,5000,0,-0.2178107564627595,0.0405561216167261,-0.21781075646276,0.0404488945200424,4.996003610813204e-16,0.00010722709668370412
9,0.9,0.9,0.5,0.85,5000,1,-0.1985872772570282,0.0400725747363587,-0.198587277257028,0.0401768861815991,2.220446049250313e-16,0.00010431144524039593
9,0.9,0.9,0.5,0.85,5000,2,-0.2219700635812549,0.0407121596829035,-0.221970835317201,0.0407516092067911,7.717359460923667e-07,3.944952388759693e-05
9,0.9,0.9,0.5,0.85,5000,3,-0.2583471946021102,0.0404911046911023,-0.25834719460211,0.0405749000829495,2.220446049250313e-16,8.379539184719814e-05
9,0.9,0.9,0.5,0.85,5000,4,-0.2110765404626323,0.0403959177563847,-0.211076540462632,0.0404049830651765,3.0531133177191805e-16,9.06530879180023e-06
9,0.9,0.9,0.5,0.85,5000,5,-0.2814250163709676,0.0404664716407424,-0.281424768980167,0.0404793484452945,2.473908006228598e-07,1.2876804552100496e-05
9,0.9,0.9,0.5,0.85,5000,6,-0.2244626230680082,0.0411618566889189,-0.224462623068008,0.0408194934384041,2.220446049250313e-16,0.0003423632505147947
9,0.9,0.9,0.5,0.85,5000,7,-0.2066888619714168,0.0406385305383173,-0.206688861971417,0.0405694099207111,1.942890293094024e-16,6.91206176062012e-05
9,0.9,0.9,0.5,0.85,5000,8,-0.2600541060057556,0.0411123801860183,-0.260054106005756,0.0412721404241871,3.885780586188048e-16,0.00015976023816879903
9,0.9,0.9,0.5,0.85,5000,9,-0.2637011672897256,0.0406578722408,-0.263701167289726,0.0407031435612197,3.885780586188048e-16,4.5271320419697225e-05
9,0.9,0.9,0.5,0.85,5000,10,-0.2454158390368834,0.0405567897307446,-0.245415839036883,0.0404194741000233,4.163336342344337e-16,0.00013731563072130054
9,0.9,0.9,0.5,0.85,5000,11,-0.1630330165067298,0.0414976678386053,-0.16303301650673,0.0415011073461582,1.942890293094024e-16,3.439507552903398e-06
9,0.9,0.9,0.5,0.85,5000,12,-0.2001856768186042,0.0407356521743723,-0.200185676818604,0.0406184795210487,1.942890293094024e-16,0.00011717265332359533
