scenario_id,family,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,planned_reps,master_seed,scenario_seed,median_HR_c,median_HR_naive,median_HR_o,bias_logHR_c,median_HR_percent_error_c,empirical_SE,avg_robust_SE,avg_model_SE,rmse_c,coverage_c,coverage_naive,median_interval_width_log,directional_signal_rate,median_cross_ratio,mcse_bias,mcse_coverage,mcse_signal,successful,failed,failure_rate,convergence_warnings,max_abs_score_residual_sum,computational_time_s,cache_status
11,main_hi,,1.0,1.0,0.33,0.85,5000,-0.8,-0.5,5000,20260817,1710890882,0.7269665093969675,0.7314169054187332,0.8552607911190144,-0.1557447909717879,-14.474528306239115,0.0417245607022909,0.0417554505414562,0.0588605264493198,0.1612359472724736,0.0416,0.0504,0.1636348426836505,0.9272,0.850186163240898,0.0005900743962923,0.0028238073588685,0.0036742389688206,5000,0,0.0,0,3.012345928254945e-11,0.0,reused complete strict rerun
12,main_hi,,1.0,1.0,0.33,0.85,50000,-0.8,-0.5,5000,20260817,1319130456,0.7270595141569868,0.7316534359353644,0.855133572895336,-0.1562068235922352,-14.46358656976626,0.0132514148918539,0.0132002883457453,0.0185955869959324,0.1567677792577684,0.0,0.0,0.0517431388061716,1.0,0.8499262922715016,0.0001874033066069,0.0,0.0,5000,0,0.0,0,3.079833277297439e-09,0.0,reused complete strict rerun
13,main_hi,,0.9,0.9,1.0,1.0,5000,-0.8,-0.5,5000,20260817,972130327,0.9998177504133294,1.000163154279571,0.999986321498704,-7.387856943603596e-05,-0.0182249586670568,0.0393832215751944,0.0394270148540292,0.0558002973379495,0.0393793523569847,0.9492,0.9492,0.1545639589880562,0.0246,0.9997183276037652,0.0005569628608158,0.0031054584202658,0.0021906546966603,5000,0,0.0,0,3.779554447191913e-11,0.0,reused complete strict rerun
14,main_hi,,0.9,0.9,1.0,1.0,50000,-0.8,-0.5,5000,20260817,300294571,1.0000720308022848,1.000034975621738,0.999923964513852,-8.409016756081813e-05,0.0072030802284794,0.0122853942494525,0.0124619586529994,0.0176255867930421,0.0122844534611186,0.9514,0.9484,0.0488499346308214,0.0242,1.0000957400293364,0.0001737417116667,0.0030409879973455,0.0021732169703,5000,0,0.0,0,3.163791006954852e-09,383.5027377605438,newly computed
15,main_hi,,0.9,0.9,1.0,0.85,5000,-0.8,-0.5,5000,20260817,184379484,0.8800513299258623,0.8787174288774615,0.9990855998616202,0.0349952120959956,3.5354505795132174,0.0398542177564849,0.0402534762648974,0.0568839953538572,0.0530349495228424,0.8574,0.8652,0.1577627263460077,0.0228,0.8811257507224329,0.0005636237526899,0.0049450023255808,0.002110931547919,5000,0,0.0,0,3.6751490739561625e-11,0.0,reused complete strict rerun
16,main_hi,,0.9,0.9,1.0,0.85,50000,-0.8,-0.5,5000,20260817,2636532921,0.8803434329654954,0.878857287487352,1.0004934390714653,0.0351205428613583,3.5698156429994667,0.0125064313528527,0.0127249743957146,0.0179709939890128,0.0372804516321233,0.2042,0.2316,0.049882798873304,0.0224,0.8800343624278546,0.0001768676483609,0.0057009185224838,0.002092760855903,5000,0,0.0,0,3.3118965347966878e-09,400.6821172237396,newly computed
17,main_hi,,0.9,0.9,0.5,1.0,5000,-0.8,-0.5,5000,20260817,2612745165,0.9116658040011432,0.913871359504926,0.9135379242871358,-0.0919605604455437,-8.833419599885673,0.0403389984163411,0.0398416709119635,0.0563594647424165,0.1004173990090035,0.363,0.369,0.1561762884976447,0.4978,0.997796853639454,0.0005704795865293,0.0068004558670724,0.0070709993635977,5000,0,0.0,0,3.6962433114240405e-11,0.0,reused complete strict rerun
18,main_hi,,0.9,0.9,0.5,1.0,50000,-0.8,-0.5,5000,20260817,3692586629,0.9129801362675034,0.9149899847631956,0.9127674533772216,-0.0908851428762631,-8.70198637324966,0.0125338512382348,0.0125954868132086,0.0178075558041495,0.091745164466666,0.0,0.0,0.049375157880734,1.0,1.0002216268005897,0.0001772554240987,0.0,0.0,5000,0,0.0,0,3.339629017773404e-09,404.2075328826904,newly computed
19,main_hi,,0.9,0.9,0.5,0.85,5000,-0.8,-0.5,5000,20260817,2268338296,0.8086135659715863,0.809623186732688,0.9196557355034812,-0.0499576370617041,-4.868992238636905,0.0406414026305341,0.040751136826758,0.0575494820700456,0.0643984375885361,0.7682,0.7692,0.1597200312287453,0.4576,0.8797256105143103,0.0005747562279396,0.0059677258650175,0.0070455977744972,5000,0,0.0,0,3.3586022851750386e-11,0.0,reused complete strict rerun
20,main_hi,,0.9,0.9,0.5,0.85,50000,-0.8,-0.5,5000,20260817,3352976826,0.8087277784657437,0.8091595327176164,0.9186319711474884,-0.0496132233243254,-4.855555474618383,0.0129961122209366,0.0128817048885544,0.0181808224543583,0.0512868119666449,0.0304,0.0294,0.0504952003741851,1.0,0.8803671126251656,0.0001837927816097,0.0024279967051048,0.0,5000,0,0.0,0,3.3791422993090237e-09,421.4250371456146,newly computed
