scenario_id,family,module,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,estimand,method,planned_reps,master_seed,scenario_seed,median_HR_c,median_HR_naive,median_HR_o,bias_logHR_c,median_HR_percent_error_c,empirical_SE,avg_model_SE,rmse_c,coverage_c,coverage_naive,median_interval_width_log,directional_signal_rate,median_cross_ratio,mcse_bias,mcse_coverage,mcse_signal,successful,failed,failure_rate,convergence_warnings
30,main_hi,primary,,0.75,0.85,0.5,1.0,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,4164126655,0.9338193968333772,0.9346636304623124,0.9334038344743548,-0.0687057952126413,-6.618060316662278,0.0127129401375691,0.0126630071709538,0.0698718313698262,0.0002,0.0002,0.049639344653703,0.9968,1.000216476348125,0.0001797881236018,0.0001999799989998,0.0007987189743583,5000,0,0.0,0
31,main_hi,primary,,0.75,0.85,0.5,0.85,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,3042424778,0.8512491600559451,0.8502401337852166,0.9373643222370552,0.0020633969094923,0.1469600065817775,0.0409557511617726,0.0409858668052585,0.0410036057599877,0.9512,0.9496,0.1606200765186591,0.29,0.907963567805375,0.0005792017875015,0.00304691844328,0.0064171644828537,5000,0,0.0,0
32,main_hi,primary,,0.75,0.85,0.5,0.85,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,2356173794,0.8517994073565578,0.850669257267018,0.937683210735204,0.0020426889046641,0.2116949831244487,0.0131458592016123,0.0129498086887838,0.0133023166924797,0.9422,0.9418,0.0507619754886676,0.9934,0.908474927576008,0.0001859105237196,0.0033002775640845,0.0011451148414023,5000,0,0.0,0
33,main_hi,primary,,0.75,0.85,0.33,1.0,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1778130748,0.9037247839417624,0.9049682179881476,0.902546619583838,-0.1018285304818827,-9.627521605823752,0.0400100483057141,0.0404456511547143,0.1094053628700723,0.2874,0.293,0.1585498743086867,0.5876,1.001011430854532,0.0005658275294514,0.0064000193749706,0.006961698643291,5000,0,0.0,0
34,main_hi,primary,,0.75,0.85,0.33,1.0,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,2069790541,0.9033612156025153,0.9045853583080018,0.9032306245963576,-0.1016542679404968,-9.663878439748474,0.0126797211187384,0.0127793045260246,0.1024418535711931,0.0,0.0,0.0500923864998588,1.0,0.999835127085506,0.0001793183357322,0.0,0.0,5000,0,0.0,0
35,main_hi,primary,,0.75,0.85,0.33,0.85,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,3567053798,0.8279397905273462,0.8275007959142444,0.9108988562759815,-0.0262295368303427,-2.5953187614886764,0.0410356382088375,0.0413855502593505,0.0486988236081763,0.9066,0.9048,0.1622127581053141,0.5286,0.909142815511978,0.0005803315609557,0.0041152506606523,0.0070594906331831,5000,0,0.0,0
36,main_hi,primary,,0.75,0.85,0.33,0.85,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,3333225663,0.828420935587658,0.8279790116296757,0.9114507182193814,-0.0259658624416453,-2.538713460275533,0.0129983366780215,0.0130729086833514,0.0290370276953817,0.4974,0.4772,0.0512449903676226,1.0,0.908703966234194,0.0001838242401834,0.0070709722103823,0.0,5000,0,0.0,0
102,low_crc,primary,low_crc,1.0,1.0,1.0,1.0,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,1410448036,0.9998391623893425,1.0000679546212343,0.9990486604570912,-0.0007407873343805,-0.016083761065766,0.0485864993588471,0.0471542590292047,0.0485799996074728,0.9445,0.942,0.1848001617855916,0.0265,1.0014819934564136,0.0010864271535513,0.0051195580863976,0.0035915003828483,2000,0,0.0,0
103,low_crc,primary,low_crc,1.0,1.0,1.0,0.85,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,3444109857,0.8508326117233086,0.8499720973974285,0.9999892656025962,0.0005782599279698,0.0979543203892492,0.0493972466040084,0.0493742641449809,0.0493882811263511,0.9495,0.952,0.193465869963552,0.028,0.8509027939168645,0.0011045560130788,0.0048964145045124,0.0036889022757454,2000,0,0.0,0
104,low_crc,primary,low_crc,1.0,1.0,0.5,1.0,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,3195999652,0.9056665940183164,0.9085648739110066,0.9017135514067948,-0.1010960066234214,-9.43334059816836,0.050507935817712,0.0512232671579199,0.1130052149680655,0.5085,0.5235,0.2007399973890897,0.9295,1.0035753879413412,0.001129391778916,0.0111787242116441,0.0057240610583745,2000,0,0.0,0
