scenario_id,module,family,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,repetitions,bootstrap_B,tag,cut_years,m1,m2,estimator_or_operation,final_evidence_status,source_artifact
34,primary Cox,main_hi,,0.75,0.85,0.33,1.0,50000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
35,primary Cox,main_hi,,0.75,0.85,0.33,0.85,5000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
36,primary Cox,main_hi,,0.75,0.85,0.33,0.85,50000,-0.8,-0.5,5000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
102,primary Cox,low_crc,low_crc,1.0,1.0,1.0,1.0,50000,4.2074,3.1726,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
103,primary Cox,low_crc,low_crc,1.0,1.0,1.0,0.85,50000,4.2074,3.1726,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
104,primary Cox,low_crc,low_crc,1.0,1.0,0.5,1.0,50000,4.2074,3.1726,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
105,primary Cox,low_crc,low_crc,1.0,1.0,0.5,0.85,50000,4.2074,3.1726,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
106,primary Cox,low_crc,low_crc,1.0,1.0,0.33,1.0,50000,4.2074,3.1726,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
107,primary Cox,low_crc,low_crc,1.0,1.0,0.33,0.85,50000,4.2074,3.1726,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
108,primary Cox,low_crc,low_crc,0.9,0.9,1.0,1.0,50000,4.2074,3.1726,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
109,primary Cox,low_crc,low_crc,0.9,0.9,1.0,0.85,50000,4.2074,3.1726,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
110,primary Cox,low_crc,low_crc,0.9,0.9,0.5,1.0,50000,4.2074,3.1726,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
