Se,Sp,uhr,B
0.8188592101417839,0.8058515487791319,0.4411962859993832,-0.015141080646289
0.8488899644453854,0.8756067597079824,0.3953997632142589,-0.0504128285920237
0.8745711952208522,0.8773147149296102,0.5374996837268621,-0.0293968357299863
0.794571298481265,0.9611944180811752,0.4722309111866444,-0.0446580753352613
0.859242101262153,0.9108794299884436,0.5157141155327164,-0.0360932049825779
0.7876447021264075,0.8929937622782981,0.5193625645810352,-0.022755136521485
0.8552429020123563,0.8308165851354945,0.4867476127378388,-0.0355539891439895
0.8310394832709929,0.8517912122370133,0.406544309512099,-0.0344049114847493
0.8978601853404903,0.8873903486786809,0.4936856181400125,-0.0446905893942706
0.847561537247703,0.8790222408699269,0.2447914515875489,-0.0803582914308444
0.8331727506487442,0.8880379701283739,0.4914755738401209,-0.0344025698395095
0.8963568371152769,0.8899535913246879,0.4727536159716028,-0.0582265455899689
0.9356574501766014,0.9371894612691956,0.4332994668558729,-0.0920431534147483
0.8662497977263838,0.9374421957933564,0.2707528373379682,-0.0950466152643772
0.8522661165028623,0.8842360778642248,0.5357299472132524,-0.0323051133027585
0.9187743868792878,0.8883818644861724,0.3361277623470231,-0.0907370398605161
0.8341675091987216,0.8829985986656339,0.4653490477680091,-0.0318516180082619
0.8757981100585461,0.889309651852223,0.2193123620874971,-0.1116729637945637
0.7109095537241807,0.8846085429239718,0.3852722841105692,-0.0111978743886228
0.6710171524764745,0.953077951734062,0.3387033860534911,-0.0510425305564853
0.8829010523818474,0.834455580228424,0.3256497098964677,-0.0576280500142325
0.900825003403879,0.884862917723458,0.3368515310030718,-0.096618249371561
0.86463175214337,0.9074946665534191,0.5795861730809001,-0.036637979360767
0.8671511457293389,0.9504364691787804,0.3995047481930822,-0.084188132308915
0.8333454603950443,0.8346533919014173,0.4367447376772821,-0.0106792433213906
0.906178521986276,0.9159181206332384,0.6151447797057886,-0.0198843103632365
0.8530870542866033,0.9249949737757708,0.2605214897546193,-0.1019010431056412
0.8256488710992276,0.8967702858597554,0.554932998096352,-0.0203910586512346
0.7694714190650667,0.8911895607266431,0.3660050923962812,-0.0446703380545034
0.7891548626417874,0.9183761494694308,0.3403381075266488,-0.04650566567872
0.8702576042907771,0.914167975904361,0.3619939909389316,-0.074301278907675
0.8901695610812199,0.9268046409784556,0.222778414661132,-0.1299357554958478
0.836658019388476,0.915257916096648,0.2502865411827215,-0.0968224703919051
0.7838936280892429,0.8991820587387678,0.2899271884542675,-0.0636520046529194
0.8782073150573755,0.9376467099149116,0.3468412426212337,-0.0978573966542944
0.8530933679996402,0.8412072987282216,0.4736521048552617,-0.0292563501448595
0.9444965511643209,0.937975046782728,0.5105666549390508,-0.0707100685914957
0.8733635340730413,0.8825547146978665,0.3659355371859587,-0.0766192423298804
0.7876695269744448,0.8333403854356239,0.4395028245198447,-0.0139792274070355
0.8755053280645618,0.9143065354341928,0.4458069285997991,-0.0684591386543303
0.9208446284837352,0.8804401231882434,0.3797251537325011,-0.0723643359135514
0.8243489573587026,0.926594310233992,0.4251327426132345,-0.0515932874010352
0.8606672288716115,0.901659087552638,0.3437847887173101,-0.0793608882596155
0.8365816783591827,0.9465887309058544,0.4576190288292558,-0.0631660598799925
0.7371892800764077,0.9066731570979696,0.380014422750042,-0.0405425405947873
0.8707228016449837,0.9073137735682616,0.4062474577536752,-0.0586776779206359
0.8611923308017134,0.9379000409828464,0.4276689346652134,-0.068812911561719
0.8099923931454162,0.9132239949631245,0.4168006509441612,-0.0578322015320118
0.7826085905015856,0.892091252622189,0.331053728077019,-0.0492178766680658
0.9150523870239148,0.8591893329490919,0.2681557343820085,-0.0950762677873408
0.8798269544985762,0.9345823574265828,0.3955136936252963,-0.073897298349468
0.7982624436729604,0.9626386736101242,0.3458213591865097,-0.0820972315220633
0.8082745777765256,0.9041813007012494,0.3493662756468736,-0.0600498000159301
0.8843487260992164,0.9295806418408672,0.3916859145413053,-0.0817242767748379
0.8256676902087893,0.8940918845100485,0.3314258793663625,-0.061544838722736
0.7814877867441921,0.8937960894118355,0.4466358678904512,-0.029618318565779
0.6112493089393032,0.8571151985463746,0.441756523746779,0.0290989352983372
0.8643274482097512,0.9180679381318698,0.312538811200384,-0.0878600442042221
0.8631757989946379,0.8173926165575381,0.4386919058820392,-0.0278559311488619
