scenario_id,family,module,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,estimand,method,planned_reps,master_seed,scenario_seed,median_HR_c,median_HR_naive,median_HR_o,bias_logHR_c,median_HR_percent_error_c,empirical_SE,avg_model_SE,rmse_c,coverage_c,coverage_naive,median_interval_width_log,directional_signal_rate,median_cross_ratio,mcse_bias,mcse_coverage,mcse_signal,successful,failed,failure_rate,convergence_warnings
21,main_hi,primary,,0.9,0.9,0.33,1.0,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,666658930,0.8738986335875416,0.8764595692821384,0.873541017728662,-0.13496897922910417,-12.61013664124584,0.04010970761039294,0.040233381223588396,0.14080160596033214,0.0832,0.091,0.15769923878713082,0.8246,0.999240152740903,0.0005672369248543704,0.003905835634022507,0.005378379681651343,5000,0,0.0,0
22,main_hi,primary,,0.9,0.9,0.33,1.0,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,2744545753,0.8740191850806462,0.876596515053257,0.873725824867984,-0.13470016328421722,-12.598081491935375,0.012820629843788005,0.012711584714445223,0.1353087937448128,0.0,0.0,0.04982965121089346,1.0,1.000187344046868,0.00018131108603250252,0.0,0.0,5000,0,0.0,0
23,main_hi,primary,,0.9,0.9,0.33,0.85,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1390767563,0.7782142346916578,0.7797652562059683,0.8856194274155231,-0.08802365253138815,-8.445384153922605,0.040716903599930736,0.0411429438688471,0.0969829782512625,0.4284,0.433,0.161249624663653,0.758,0.8791801613947889,0.0005758239728885994,0.006998191766449387,0.00605699595509193,5000,0,0.0,0
24,main_hi,primary,,0.9,0.9,0.33,0.85,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1851916202,0.7789046389065166,0.7801519912272095,0.8845173867392663,-0.08734936934263943,-8.3641601286451,0.012874122360220711,0.013000203836517017,0.08829282078684236,0.0,0.0,0.050960458129718195,1.0,0.8807670365475649,0.0001820675844547485,0.0,0.0,5000,0,0.0,0
25,main_hi,primary,,0.75,0.85,1.0,1.0,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,2088437592,0.9990894670433418,0.998896464660014,0.9994127978735985,-0.000628758914411742,-0.09105329566582165,0.040159112625105596,0.03966728236554765,0.040160018846397486,0.9486,0.9474,0.15546900024708482,0.0256,1.0000382716921017,0.0005679356172729292,0.0031227564746550444,0.002233590830926739,5000,0,0.0,0
26,main_hi,primary,,0.75,0.85,1.0,1.0,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,770843387,0.9997592237719962,0.99986066815804,0.999627429127926,-0.00016624239725468047,-0.024077622800378062,0.012555813062536999,0.012535151082708449,0.01255565802766575,0.9468,0.9468,0.04913847591638573,0.028,1.000145712367226,0.0001775660111966109,0.003173948959892078,0.0023330666514268295,5000,0,0.0,0
27,main_hi,primary,,0.75,0.85,1.0,0.85,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,730609205,0.906925090065421,0.904859985992545,1.0002514382968446,0.06523970189457987,6.697069419461296,0.041111676438274077,0.040530509709687024,0.07711063875284055,0.6434,0.6562,0.15884480743739057,0.024,0.9071804488295852,0.0005814069039090161,0.006774015648048062,0.002164439881354989,5000,0,0.0,0
28,main_hi,primary,,0.75,0.85,1.0,0.85,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,3314776866,0.9076564186000596,0.9058052126260858,1.000537787395093,0.06576269624221462,6.783108070595254,0.012654335992882508,0.012807964310143683,0.06696889136026268,0.0004,0.001,0.05020653242667622,0.0232,0.9069842750532672,0.0001789593358396045,0.00028278613827413816,0.0021289321266775977,5000,0,0.0,0
29,main_hi,primary,,0.75,0.85,0.5,1.0,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,2284446999,0.9330911113567941,0.9339135651998374,0.9325269542371049,-0.06884254565545063,-6.690888864320588,0.03933044544875453,0.0400775484344159,0.07928348286202129,0.5972,0.6018,0.15709721171727364,0.317,1.0012408664663848,0.0005562164936780382,0.006936168394726299,0.006580440714724204,5000,0,0.0,0
30,main_hi,primary,,0.75,0.85,0.5,1.0,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,4164126655,0.9338193968333772,0.9346636304623124,0.9334038344743547,-0.06870579521264134,-6.618060316662278,0.012712940137569186,0.012663007170953824,0.06987183136982625,0.0002,0.0002,0.04963934465370305,0.9968,1.000216476348125,0.00017978812360187622,0.00019997999899989998,0.0007987189743583135,5000,0,0.0,0
31,main_hi,primary,,0.75,0.85,0.5,0.85,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,3042424778,0.8512491600559451,0.8502401337852166,0.9373643222370552,0.0020633969094923836,0.14696000658177752,0.04095575116177268,0.040985866805258515,0.04100360575998777,0.9512,0.9496,0.16062007651865912,0.29,0.907963567805375,0.0005792017875015656,0.0030469184432800286,0.006417164482853778,5000,0,0.0,0
32,main_hi,primary,,0.75,0.85,0.5,0.85,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,2356173794,0.8517994073565578,0.850669257267018,0.937683210735204,0.0020426889046641387,0.2116949831244487,0.01314585920161234,0.01294980868878388,0.0133023166924797,0.9422,0.9418,0.05076197548866764,0.9934,0.9084749275760081,0.0001859105237196732,0.0033002775640845715,0.0011451148414023853,5000,0,0.0,0
33,main_hi,primary,,0.75,0.85,0.33,1.0,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1778130748,0.9037247839417625,0.9049682179881475,0.9025466195838381,-0.1018285304818827,-9.627521605823752,0.04001004830571412,0.04044565115471436,0.10940536287007235,0.2874,0.293,0.15854987430868672,0.5876,1.0010114308545321,0.0005658275294514358,0.006400019374970672,0.006961698643291018,5000,0,0.0,0
